BAG:cuziibr add 1xRada cấp 1 lydo: Lấy từ rương qua người at 03/14/2023 8:49 PM
BAG:cuziibr add 1xMảnh Quỷ đất lydo: Nhặt từ map at 03/14/2023 8:51 PM
BAG:cuziibr add 50xThỏi vàng lydo: Giftcode at 03/14/2023 8:52 PM
BAG:cuziibr add 10xSao pha lê lydo: Giftcode at 03/14/2023 8:52 PM
BAG:cuziibr add 10xSao pha lê lydo: Giftcode at 03/14/2023 8:52 PM
BAG:cuziibr add 10xSao pha lê lydo: Giftcode at 03/14/2023 8:52 PM
BAG:cuziibr add 1xCải trang Hit lydo: Giftcode at 03/14/2023 8:52 PM
BAG:cuziibr add 1xCải trang Chill cấp 2 lydo: Mua từ cửa hàng at 03/14/2023 8:53 PM
BAG:cuziibr add 1xĐổi đệ tử lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
BAG:cuziibr add 2xĐổi đệ tử (old: 1) lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
BAG:cuziibr add 3xĐổi đệ tử (old: 2) lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
BAG:cuziibr add 4xĐổi đệ tử (old: 3) lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
BAG:cuziibr add 5xĐổi đệ tử (old: 4) lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
BAG:cuziibr add 6xĐổi đệ tử (old: 5) lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
BAG:cuziibr add 7xĐổi đệ tử (old: 6) lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
BAG:cuziibr add 8xĐổi đệ tử (old: 7) lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
BAG:cuziibr add 9xĐổi đệ tử (old: 8) lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
BAG:cuziibr add 10xĐổi đệ tử (old: 9) lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
BAG:cuziibr add 11xĐổi đệ tử (old: 10) lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
BAG:cuziibr add 12xĐổi đệ tử (old: 11) lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
BAG:cuziibr add 13xĐổi đệ tử (old: 12) lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
BAG:cuziibr add 14xĐổi đệ tử (old: 13) lydo: Mua từ cửa hàng at 03/14/2023 8:54 PM
